"cnty_fips","display_name","Value","theme_range"
37001,"""Alamance, (NC)""",974.2,"909.8 - 996.8 (20)"
37003,"""Alexander, (NC)""",888.3,"551.4 - 909.7 (20)"
37005,"""Alleghany, (NC)""",971.7,"909.8 - 996.8 (20)"
37007,"""Anson, (NC)""",1366.2,"1186.6 - 1879.2 (20)"
37009,"""Ashe, (NC)""",983.3,"909.8 - 996.8 (20)"
37011,"""Avery, (NC)""",1019.9,"996.9 - 1104.3 (20)"
37013,"""Beaufort, (NC)""",1147.2,"1104.4 - 1186.5 (20)"
37015,"""Bertie, (NC)""",1054.6,"996.9 - 1104.3 (20)"
37017,"""Bladen, (NC)""",1454.4,"1186.6 - 1879.2 (20)"
37019,"""Brunswick, (NC)""",979.8,"909.8 - 996.8 (20)"
37021,"""Buncombe, (NC)""",912.4,"909.8 - 996.8 (20)"
37023,"""Burke, (NC)""",1151.7,"1104.4 - 1186.5 (20)"
37025,"""Cabarrus, (NC)""",1028,"996.9 - 1104.3 (20)"
37027,"""Caldwell, (NC)""",1154.6,"1104.4 - 1186.5 (20)"
37029,"""Camden, (NC)""",1358.2,"1186.6 - 1879.2 (20)"
37031,"""Carteret, (NC)""",1015.5,"996.9 - 1104.3 (20)"
37033,"""Caswell, (NC)""",854,"551.4 - 909.7 (20)"
37035,"""Catawba, (NC)""",1072.4,"996.9 - 1104.3 (20)"
37037,"""Chatham, (NC)""",551.4,"551.4 - 909.7 (20)"
37039,"""Cherokee, (NC)""",1342.1,"1186.6 - 1879.2 (20)"
37041,"""Chowan, (NC)""",958.1,"909.8 - 996.8 (20)"
37043,"""Clay, (NC)""",863.6,"551.4 - 909.7 (20)"
37045,"""Cleveland, (NC)""",1247.3,"1186.6 - 1879.2 (20)"
37047,"""Columbus, (NC)""",1879.2,"1186.6 - 1879.2 (20)"
37049,"""Craven, (NC)""",962,"909.8 - 996.8 (20)"
37051,"""Cumberland, (NC)""",1082.2,"996.9 - 1104.3 (20)"
37053,"""Currituck, (NC)""",1220.3,"1186.6 - 1879.2 (20)"
37055,"""Dare, (NC)""",913,"909.8 - 996.8 (20)"
37057,"""Davidson, (NC)""",1077.3,"996.9 - 1104.3 (20)"
37059,"""Davie, (NC)""",908.7,"551.4 - 909.7 (20)"
37061,"""Duplin, (NC)""",993.6,"909.8 - 996.8 (20)"
37063,"""Durham, (NC)""",836.3,"551.4 - 909.7 (20)"
37065,"""Edgecombe, (NC)""",1027.1,"996.9 - 1104.3 (20)"
37067,"""Forsyth, (NC)""",909.7,"551.4 - 909.7 (20)"
37069,"""Franklin, (NC)""",1012.1,"996.9 - 1104.3 (20)"
37071,"""Gaston, (NC)""",1135.6,"1104.4 - 1186.5 (20)"
37073,"""Gates, (NC)""",977.7,"909.8 - 996.8 (20)"
37075,"""Graham, (NC)""",1364,"1186.6 - 1879.2 (20)"
37077,"""Granville, (NC)""",948.8,"909.8 - 996.8 (20)"
37079,"""Greene, (NC)""",1138.7,"1104.4 - 1186.5 (20)"
37081,"""Guilford, (NC)""",859.5,"551.4 - 909.7 (20)"
