"cnty_fips","display_name","Value","theme_range"
37177,"""Tyrrell, (NC)""",283.7,"192.5 - 295.1 (20)"
37179,"""Union, (NC)""",334.4,"318.6 - 350.7 (20)"
37181,"""Vance, (NC)""",360.3,"350.8 - 373.4 (20)"
37183,"""Wake, (NC)""",236,"192.5 - 295.1 (20)"
37185,"""Warren, (NC)""",358.8,"350.8 - 373.4 (20)"
37187,"""Washington, (NC)""",357.6,"350.8 - 373.4 (20)"
37189,"""Watauga, (NC)""",252.1,"192.5 - 295.1 (20)"
37191,"""Wayne, (NC)""",323.7,"318.6 - 350.7 (20)"
37193,"""Wilkes, (NC)""",311.8,"295.2 - 318.5 (20)"
37195,"""Wilson, (NC)""",342.8,"318.6 - 350.7 (20)"
37197,"""Yadkin, (NC)""",363.7,"350.8 - 373.4 (20)"
37199,"""Yancey, (NC)""",290.8,"192.5 - 295.1 (20)"
